Content,Metadata
"DevOps Künyesi Tüm işlerimizde her zaman göz önünde bulundurmamız gerekenler; İç müşterilerimizin memnuniyetini artırmalıyız . Yaptıklarımızla fark yaratmalıyız . Takım oyununu ve birlikteliği hep canlı tutmalıyız. Yaptığımız işlerdeki kaliteyi artırmalıyız . Sistematik çalışarak işlerimizi daha iyi yönetmeliyiz. Verimliliğimizi artırmalı ve kendi gelişimlerimizi de ihmal etmemeliyiz. The team Sinan Çayır About us Softtech DevOps Bilgi Paylaşım Ortamı Blog stream 3 excerpts Recently updated page, comment, blogpost, spacedesc 10 true concise","{'title': 'Softtech DevOps Araçları & Platform Yönetimi', 'id': '1409027', 'source': 'https://wiki.softtech.com.tr/pages/viewpage.action?pageId=1409027'}"
"2c5d93d9-dfeb-46e0-ba4f-f7fcc4722201 com.atlassian.confluence.plugins.confluence-business-blueprints:file-list-blueprint Create file list 2c5d93d9-dfeb-46e0-ba4f-f7fcc4722201 com.atlassian.confluence.plugins.confluence-business-blueprints:file-list-blueprint file-list Upload, preview and share files with your team. File lists Create file list file-list","{'title': 'File lists', 'id': '3211318', 'source': 'https://wiki.softtech.com.tr/display/SDO/File+lists'}"
Automation-with-Ansible-do407-a20-en-1-20160804.pdfEffective_DevOps.pdf,"{'title': 'Softtech DevOps Files', 'id': '3211319', 'source': 'https://wiki.softtech.com.tr/display/SDO/Softtech+DevOps+Files'}"
Ip Adresi Sunucu Adı Domain 1 10.192.96.183 Genom İsbank 2 10.80.36.89 DevOps.Softtech Softtech 3 10.80.36.77 CheckMarx İsbank 4 10.80.36.82 CheckMarx İsbank 5 10.80.20.141 ScoreTFS İsbank 6 213.52.186.137 SuccessFactory DışNetWork 7 10.50.107.150 ClearQuest İsbank 8 10.80.36.92 SofttechTFS Softtech 9 10.80.36.102 Kozmos Softtech 10 10.192.99.89 ScoreNexus İsbank 11 10.80.36.96 Java Agent Softtech 12 10.80.36.97 DotNet Agent Softtech 13 10.80.36.134 Java Agent Softtech 14 10.80.36.135 DotNet Agent Softtech 15 10.222.8.72 NexusSofttech Softtech 16 10.80.36.49 Sonar-PROD Sofftech 17 10.222.8.84 GitLab Sofftech 18 10.222.8.85 ELK(Eski) Sofftech 19 10.222.8.86 Jenkins Sofftech 20 10.222.8.87 ELK Softtech 21 10.222.8.88 Nginx Load Balancer (Aktif) Softtech 22 10.222.8.89 Nginx Load Balancer (Backup) Softtech 23 10.222.8.90 Nginx Load Balancer Virtual IP Softtech 24 10.80.36.49 - - 25 10.80.36.39 SonarQube Test Sunucusu (Bir Önceki Yılın Bilgileri Saklanır) Softtech 26 10.80.36.118 10.80.36.39 Adresinde yer alan sunucunun DB'si. Softtech 27 10.80.36.47 SonarQube Prod DB Softtech 28 10.80.36.107 empty- for Yeni / Test TFS DB Softtech 29 10.80.36.108 empty- for Yeni / Test TFS Live Softtech 30 10.80.36.109 empty- for PythonScalaAgent S ofttech 31 10.80.36.125 empty- for uatdevops.softtech Softtech 32 10.80.36.10 Test Otomasyonu - Dosya Paylaşımı Softtech 33 10.80.36.12 empty Softtechimage2019-9-5_11-54-39.pngimage2019-9-5_11-54-32.pngimage2019-9-5_11-54-19.png,"{'title': 'Sunucular ve IpAdressleri', 'id': '3213477', 'source': 'https://wiki.softtech.com.tr/display/SDO/Sunucular+ve+IpAdressleri'}"
"Kaynak IP Hedef IP Port Açıklama 1 10.80.36.89 10.192.96.183 80,443 Genom 2 10.80.36.89 213.52.186.137 80,443 SuccessFactory 3 10.80.36.89 10.50.107.150 80,443 ClearQuest 4 10.80.36.89 10.80.36.92 80,443 SofttechTFS 5 10.80.36.89 10.80.36.102 80,443 Kozmos 6 10.80.36.89 10.80.36.77 80,443 CheckMarx 7 10.80.36.89 10.80.36.82 80,443 CheckMarx 8 10.80.36.89 10.80.36.49 80,443 Sonar 9 10.80.36.77 10.80.20.141 80,443 ScoreTFS 10 10.80.36.77 10.80.36.102 80,443 Kozmos 11 10.80.36.77 10.80.36.92 80,443 SofttechTFS 12 10.80.36.82 10.80.20.141 80,443 ScoreTFS 13 10.80.36.82 10.80.36.102 80,443 Kozmos 14 10.80.36.82 10.80.36.92 80,443 SofttechTFS 15 10.80.36.96 10.80.36.92 80,443 SofttechTFS 16 10.80.36.96 10.80.20.141 80,443 ScoreTFS 17 10.80.36.96 10.192.99.89 80,443 ScoreNexus 18 10.80.36.96 10.80.36.102 80,443 Kozmos 19 10.80.36.96 10.222.8.72 80,443,8081 NexusSofttech 20 10.80.36.97 10.80.36.92 80,443 SofttechTFS 21 10.80.36.97 10.80.20.141 80,443 ScoreTFS 22 10.80.36.97 10.192.99.89 80,443 ScoreNexus 23 10.80.36.97 10.80.36.102 80,443 Kozmos 24 10.80.36.97 10.222.8.72 80,443,8081 NexusSofttech 25 10.80.36.134 10.80.36.92 80,443 SofttechTFS 26 10.80.36.134 10.80.20.141 80,443 ScoreTFS 27 10.80.36.134 10.192.99.89 80,443 ScoreNexus 28 10.80.36.134 10.80.36.102 80,443 Kozmos 29 10.80.36.134 10.222.8.72 80,443,8081 NexusSofttech 30 10.80.36.135 10.80.36.92 80,443 SofttechTFS 31 10.80.36.135 10.80.20.141 80,443 ScoreTFS 32 10.80.36.135 10.192.99.89 80,443 ScoreNexus 33 10.80.36.135 10.80.36.102 80,443 Kozmos 34 10.80.36.135 10.222.8.72 80,443,8081 NexusSofttech 35 10.222.8.84 10.80.36.49 80,443 36 10.222.8.85 10.80.36.49 80,443 37 10.222.8.86 10.80.36.49 80,443image2019-9-5_12-2-31.png","{'title': 'Sunucu Network Tanımları', 'id': '3213482', 'source': 'https://wiki.softtech.com.tr/pages/viewpage.action?pageId=3213482'}"
"SonarQube, Softtech bünyesinde geliştirilen bütün projelerin kod kalitelerini ölçmek üzere kullanılan bir araçtır. ( https://sonar.softtech / https://sonar.rally.softtech/ )image2019-9-9_8-5-43.png","{'title': 'SonarQube', 'id': '3213497', 'source': 'https://wiki.softtech.com.tr/display/SDO/SonarQube'}"
"SonarQube aracına CI sürecinin sonunda eklenen paketler varsayılan olarak ""Public"" izinli şekilde ekleniyor. Yeni eklenen paketlerin takibini; https://sonar.softtech/api/projects/search?visibility=public API üzerinden takip edebiliyoruz. Web üzerinden de yanıt dönebilen servisin detaylarını inceleyip bulunan ACI kodu ile bir ekibe adreslenmesi gerekiyorsa ilgili işlemin yapılması, karne kısıtı sebebiyle görünmemesi gerekiyorsa https://sonar.softtech/project_roles?id=ACIXXXXX adresine gidip ""Private"" şeklinde adreslenmesi gerekiyor. (API (Post) : http://sonar.softtech/api/projects/update_visibility?project=ACIXXXXX&visibility=private )","{'title': 'Check Public', 'id': '3213544', 'source': 'https://wiki.softtech.com.tr/display/SDO/Check+Public'}"
"SonarQube emekli işlemleri. Custom Measures olarak adlandırılan gruplama ve hesap etiketlerinde paketin ilgili metriği Pasif olarak işaretlenmeli. (İlgili adres: https://sonar.softtech/custom_measures?id=ACIXXXXX) Bu işlem ön yüzden yapılabileceği gibi aşağıdaki adımları izleyerek API'ler aracılığı ile de yapılabilir. Mevcut Custom Measures metriclerini silmek için → Post api/custom_measures/delete Paketin emekli olduğuna dair ilgili metriği eklemek için → Post api/custom_measures/create Emekli edilen paketin karışıklık oluşturmaması adına artık görünmesini istemeyiz. https://sonar.softtech/project_roles?id=ACIXXXXX adresinden pakete emekli olan paketler için önceden hazırlanmış olan sadece uygulama yöneticilerinin görmesini sağlayan ""İzin Temaları"" uygulanır. POST Api; api/permissions/apply_template Daha düzenli yönetmek adına paketlerin isimlerine ""ön ek"" eklenmek istenirse DB için aşağıdaki script'i çalıştırmak gerekecek. declare @scoreName nvarchar(2000); set @scoreName = 'RETIRED_PackageName'; UPDATE [SONAR].[dbo].[projects] SET [name] = @scoreName, [long_name] = @scoreName WHERE [kee] ='ACIXXXXX'image2019-9-16_11-40-36.pngimage2019-9-16_11-40-25.pngimage2019-9-16_11-32-42.png","{'title': 'Get Retired', 'id': '3213546', 'source': 'https://wiki.softtech.com.tr/display/SDO/Get+Retired'}"
"İçerisinde auto-generated kodları yer alan paketleri tamamiyle analizlerden çıkarılmamaktadır. Dili .java paketleri için pom.xml içerisine <module> tagı altında yer alan modullerin hemen yanına yazılım ekibi tarafından-.xml formatında comment olacak şekilde- <!--auto-->  yazılması gerekmektedir. Bu sayede analizlere dahil olmayacaktır. Gerekli değişiklikleri yaptıktan sonra bir sonraki analizde ilgili module analizlere dahil edilmemiş olacaktır. Not: Bu işlem sonrası hangi modüllerin kim tarafından çıkartıldığı DB'mize otomatik olarak kaydedilip, raporlanmaktadır. Dolayısıyla, bu işlemi yaparken doğru modülün belirtildiğine yazılım ekiplerince dikkat edilmesi gerekmektedir.","{'title': 'Auto Generated', 'id': '3213580', 'source': 'https://wiki.softtech.com.tr/display/SDO/Auto+Generated'}"
Yukarıdaki adımlar takip edilerek Portfolios sayfasına erişilebilir. Burada ana portfolyolar belirlenip alt kırılımları ile oluşturulabilir. ( Post API: http://sonar.softtech/api/views/create?name=DirektörlükAdık&key=DirektörlükiçinKeyimage2019-9-20_12-55-17.png,"{'title': 'Portfolios', 'id': '3213582', 'source': 'https://wiki.softtech.com.tr/display/SDO/Portfolios'}"
